ruas_jalan,hari,periode,jenis_kendaraan,volume,panjang_jalan,faktor_emisi,vkt,emisi_g,emisi_kg,emisi_ton
Jl. Meranti,Kerja,Peak hour sore,Bus,21,0.8093,887.8,16.9953,15088.42734,15.08842734,0.01508842734
Jl. Meranti,Libur,Peak hour pagi,Motor,714,0.8093,57.2,577.8402,33052.45944,33.05245944,0.03305245944
Jl. Meranti,Libur,Peak hour pagi,Mobil,128,0.8093,190.6,103.5904,19744.33024,19.74433024,0.01974433024
Jl. Meranti,Libur,Peak hour pagi,Bus,1,0.8093,887.8,0.8093,718.49654,0.71849654,0.00071849654
Jl. Meranti,Libur,Peak hour interval 1,Motor,842,0.8093,57.2,681.4306,38977.83032,38.97783032,0.038977830320000004
Jl. Meranti,Libur,Peak hour interval 1,Mobil,128,0.8093,190.6,103.5904,19744.33024,19.74433024,0.01974433024
Jl. Meranti,Libur,Peak hour interval 1,Bus,2,0.8093,887.8,1.6186,1436.99308,1.43699308,0.00143699308
Jl. Meranti,Libur,Peak hour siang,Motor,867,0.8093,57.2,701.6631,40135.12932,40.13512932,0.04013512932
Jl. Meranti,Libur,Peak hour siang,Mobil,126,0.8093,190.6,101.9718,19435.82508,19.435825079999997,0.019435825079999997
Jl. Meranti,Libur,Peak hour siang,Bus,2,0.8093,887.8,1.6186,1436.99308,1.43699308,0.00143699308
Jl. Meranti,Libur,Peak hour interval 2,Motor,605,0.8093,57.2,489.6265,28006.635800000004,28.006635800000005,0.028006635800000006
Jl. Meranti,Libur,Peak hour interval 2,Mobil,82,0.8093,190.6,66.3626,12648.71156,12.648711559999999,0.01264871156
Jl. Meranti,Libur,Peak hour interval 2,Bus,3,0.8093,887.8,2.4279,2155.48962,2.15548962,0.00215548962
Jl. Meranti,Libur,Peak hour sore,Motor,821,0.8093,57.2,664.4353,38005.699160000004,38.005699160000006,0.03800569916
Jl. Meranti,Libur,Peak hour sore,Mobil,110,0.8093,190.6,89.023,16967.783799999997,16.967783799999996,0.016967783799999997
Jl. Meranti,Libur,Peak hour sore,Bus,1,0.8093,887.8,0.8093,718.49654,0.71849654,0.00071849654
Jl. Meranti,Kerja,Rata-rata Harian,Motor,1735,0.8093,57.2,1404.1355,80316.5506,80.3165506,0.0803165506
Jl. Meranti,Kerja,Rata-rata Harian,Mobil,223,0.8093,190.6,180.47390000000001,34398.32534,34.39832534,0.03439832534
Jl. Meranti,Kerja,Rata-rata Harian,Bus,14,0.8093,887.8,11.3302,10058.95156,10.058951559999999,0.01005895156
Jl. Meranti,Libur,Rata-rata Harian,Motor,721,0.8093,57.2,583.5053,33376.50316,33.37650316,0.03337650316
Jl. Meranti,Libur,Rata-rata Harian,Mobil,103,0.8093,190.6,83.3579,15888.015739999999,15.888015739999998,0.015888015739999997
Jl. Meranti,Libur,Rata-rata Harian,Bus,1,0.8093,887.8,0.8093,718.49654,0.71849654,0.00071849654
Jl. Kamper,Kerja,Peak hour pagi,Motor,1072,0.7281,57.2,780.5232,44645.92704,44.645927040000004,0.044645927040000005
Jl. Kamper,Kerja,Peak hour pagi,Mobil,104,0.7281,190.6,75.7224,14432.689439999998,14.432689439999999,0.014432689439999999
Jl. Kamper,Kerja,Peak hour pagi,Bus,3,0.7281,887.8,2.1843,1939.2215399999998,1.9392215399999997,0.0019392215399999997
Jl. Kamper,Kerja,Peak hour interval 1,Motor,961,0.7281,57.2,699.7040999999999,40023.074519999995,40.023074519999994,0.04002307451999999
Jl. Kamper,Kerja,Peak hour interval 1,Mobil,84,0.7281,190.6,61.160399999999996,11657.172239999998,11.657172239999998,0.011657172239999998
Jl. Kamper,Kerja,Peak hour interval 1,Bus,8,0.7281,887.8,5.8248,5171.257439999999,5.17125744,0.005171257439999999
Jl. Kamper,Kerja,Peak hour siang,Motor,897,0.7281,57.2,653.1057,37357.64604,37.35764604,0.03735764604
Jl. Kamper,Kerja,Peak hour siang,Mobil,101,0.7281,190.6,73.5381,14016.361859999999,14.01636186,0.01401636186
Jl. Kamper,Kerja,Peak hour siang,Bus,3,0.7281,887.8,2.1843,1939.2215399999998,1.9392215399999997,0.0019392215399999997
Jl. Kamper,Kerja,Peak hour interval 2,Motor,512,0.7281,57.2,372.7872,21323.42784,21.32342784,0.02132342784
Jl. Kamper,Kerja,Peak hour interval 2,Mobil,98,0.7281,190.6,71.35379999999999,13600.034279999998,13.600034279999997,0.013600034279999998
Jl. Kamper,Kerja,Peak hour interval 2,Bus,1,0.7281,887.8,0.7281,646.4071799999999,0.64640718,0.0006464071799999999
Jl. Kamper,Kerja,Peak hour sore,Motor,684,0.7281,57.2,498.0204,28486.766880000003,28.48676688,0.02848676688
Jl. Kamper,Kerja,Peak hour sore,Mobil,100,0.7281,190.6,72.81,13877.586,13.877585999999999,0.013877585999999999
Jl. Kamper,Kerja,Peak hour sore,Bus,6,0.7281,887.8,4.3686,3878.4430799999996,3.8784430799999994,0.0038784430799999993
Jl. Kamper,Libur,Peak hour pagi,Motor,498,0.7281,57.2,362.5938,20740.36536,20.74036536,0.02074036536
Jl. Kamper,Libur,Peak hour pagi,Mobil,68,0.7281,190.6,49.510799999999996,9436.758479999999,9.436758479999998,0.009436758479999998
